what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1299816071691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816082505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816093323
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299816093358
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1299816096774
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1299816096907
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1299816097055
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1299816097092
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1299816097344
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1299816097573
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1299816098038
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1299816098146
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1299816099161
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1299816099332
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1299816099511
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1299816099528
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1299816123856
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299816126568
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1299816131986
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816149178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816214499
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816226499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816230879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816233612
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816244623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816244695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816250987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816251045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816254598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816254658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816258432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816258483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816261648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816261712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816264370
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816271273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816271338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816280814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816282118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816284782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816291199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816294803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816294856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816296666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816296724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816298352
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816304404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816304471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816317845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816317898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816319700
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816319761
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816321798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816327911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816327976
